target,n,T,alpha,kernel,gap,ess_per_step,ess_per_step_se,ess_per_sec,accept_rate,split_rhat,gated_out,D3_width
chain,6,0.3,0.05,walk_g0.03,7.443405504181655e-07,0.2008375234283973,0.17869841815941043,30924.089644587384,0.998072,4.4521511997277186,True,15.234327978711748
chain,6,0.3,0.05,walk_g0.1,5.250930638078799e-07,0.20015264822300635,0.1788513081916534,29663.771273283288,0.998396,2.122724860668708,True,15.234327978711748
chain,6,0.3,0.05,walk_g0.3,2.7162484994569525e-07,0.2001920283364182,0.17884253940550152,30804.10810880231,0.999004,2.2238302309713904,True,15.234327978711748
chain,6,0.3,0.05,walk_g1,9.68499432874026e-08,0.00013827001591385155,4.4774606736036415e-05,21.20559987455607,0.9995999999999998,2.949139093008769,True,15.234327978711748
chain,6,0.3,0.05,walk_g3,3.377766766288204e-08,0.4000769130962147,0.2190609392331761,61160.69850528132,0.999852,1.8062470302746407,True,15.234327978711748
chain,6,0.3,0.05,walk_g10,1.0283745965899982e-08,0.4000593788326204,0.21906734138229988,61538.13285268715,0.9999559999999998,2.381957451213875,True,15.234327978711748
chain,6,0.3,0.15,single_flip,nan,0.00018523455062916883,3.2037314990618283e-05,30.17429389795128,0.007759999999999999,1.1473922610749423,True,13.772466777311575
chain,6,0.3,0.15,uniform,nan,0.011134644600941051,0.0007123596406740647,1801.9315114556296,0.023868,1.0016064080546343,False,13.772466777311575
chain,6,0.3,0.15,walk_g0,1.7778242040189518e-05,0.0027134909152471366,0.0012136974030131234,213.2423831240072,0.9766320000000001,2.059919021368126,True,13.772466777311575
chain,6,0.3,0.15,walk_g0.03,1.3778574938116961e-05,0.0215173303687187,0.017561385548768352,3249.1406331110225,0.9780960000000001,2.1553910407921997,True,13.772466777311575
chain,6,0.3,0.15,walk_g0.1,8.615193732519622e-06,0.02061777207516441,0.017752530748834077,3050.444802422845,0.981424,1.9626706723813943,True,13.772466777311575
chain,6,0.3,0.15,walk_g0.3,3.787772682395385e-06,0.20151226107456469,0.17854829961863622,26785.73148765196,0.9885959999999999,2.824308657770243,True,13.772466777311575
chain,6,0.3,0.15,walk_g1,1.1726408501999686e-06,0.20123204181031026,0.17861018338047358,27841.36854925678,0.9955639999999999,5.714271204674465,True,13.772466777311575
chain,6,0.3,0.15,walk_g3,3.850229687296647e-07,0.2000963915811369,0.17886388440372025,29401.79768242427,0.9984639999999999,1.9850017404381897,True,13.772466777311575
chain,6,0.3,0.15,walk_g10,1.1445881786809053e-07,0.00023288849372215826,8.961795380788277e-05,34.00671536013876,0.999492,2.5998765343593897,True,13.772466777311575
chain,6,0.3,0.3,single_flip,nan,0.00018523455062916883,3.2037314990618283e-05,31.801870277501177,0.007759999999999999,1.1473922610749423,True,11.90006392296144
chain,6,0.3,0.3,uniform,nan,0.011134644600941051,0.0007123596406740647,1910.743239380754,0.023868,1.0016064080546343,False,11.90006392296144
chain,6,0.3,0.3,walk_g0,0.0002882180795661382,0.004329630703556722,0.003548481530121133,663.7091743418221,0.8817999999999999,1.1565093314956756,True,11.90006392296144
chain,6,0.3,0.3,walk_g0.03,0.00020631171388174607,0.002910866667399107,0.0023554426238607835,423.34356316499844,0.888608,1.4371797693354096,True,11.90006392296144
chain,6,0.3,0.3,walk_g0.1,0.00011219060198186526,0.004278087643201572,0.0022617979022923535,524.6719907592295,0.9081800000000001,1.5584204408951985,True,11.90006392296144
chain,6,0.3,0.3,walk_g0.3,3.9022621565076854e-05,0.0024513465584219203,0.0013467775891562758,372.37497400148476,0.9417479999999999,1.5378763286770822,True,11.90006392296144
chain,6,0.3,0.3,walk_g1,8.87759361756224e-06,0.2032583196533413,0.1781595945986491,31106.378167237497,0.9763040000000001,5.80648581554518,True,11.90006392296144
chain,6,0.3,0.3,walk_g3,2.39143104385775e-06,0.00042355026535869733,0.00013657290649326327,63.8993488548165,0.991424,1.8639912118144977,True,11.90006392296144
chain,6,0.3,0.3,walk_g10,6.442162416853137e-07,0.20074188756463673,0.17871973712948783,30325.895597108443,0.9975160000000001,3.1506690691406494,True,11.90006392296144
chain,6,0.3,0.5,single_flip,nan,0.00018523455062916883,3.2037314990618283e-05,31.747286434333923,0.007759999999999999,1.1473922610749423,True,10.241932316991697
chain,6,0.3,0.5,uniform,nan,0.011134644600941051,0.0007123596406740647,1893.7661328442227,0.023868,1.0016064080546343,False,10.241932316991697
chain,6,0.3,0.5,walk_g0,0.0034221340707902836,0.0025385577444215226,0.00027128684480855187,382.84382837381315,0.613524,1.007540763481358,False,10.241932316991697
chain,6,0.3,0.5,walk_g0.03,0.0022708263069468604,0.0016860303510228027,0.00015439203284740147,253.2594096753678,0.639232,1.0198686153655658,False,10.241932316991697
chain,6,0.3,0.5,walk_g0.1,0.0011161830845890508,0.0007307898421501228,8.795309761962188e-05,111.16084271105414,0.693136,1.0323636081174994,False,10.241932316991697
chain,6,0.3,0.5,walk_g0.3,0.00034328830452290404,0.0003476338034215256,6.802743457871163e-05,53.18546368840855,0.797188,1.1855054009405481,True,10.241932316991697
chain,6,0.3,0.5,walk_g1,6.258136182868412e-05,0.005707662295115974,0.0021305169498404214,855.9301345838234,0.915212,1.511908356805835,True,10.241932316991697
